category,Leitos UTI
03/19/2020,1
03/20/2020,1
03/21/2020,4
03/22/2020,5
03/23/2020,6
03/24/2020,9
03/25/2020,7
03/26/2020,11
03/27/2020,10
03/28/2020,14
03/29/2020,18
03/30/2020,20
03/31/2020,18
04/01/2020,25
04/02/2020,26
04/03/2020,29
04/04/2020,32
04/05/2020,31
04/06/2020,34
04/07/2020,33
04/08/2020,34
04/09/2020,42
04/10/2020,43
04/11/2020,40
04/12/2020,38
04/13/2020,39
04/14/2020,40
04/15/2020,38
04/16/2020,39
04/17/2020,40
04/18/2020,38
04/19/2020,37
04/20/2020,33
04/21/2020,30
04/22/2020,31
04/23/2020,35
04/24/2020,34
04/25/2020,35
04/26/2020,31
04/27/2020,33
04/28/2020,34
04/29/2020,29
04/30/2020,28
05/01/2020,31
05/02/2020,34
05/03/2020,36
05/04/2020,39
05/05/2020,30
05/06/2020,38
05/07/2020,39
05/08/2020,40
05/09/2020,41
05/10/2020,41
05/11/2020,41
05/12/2020,41
05/13/2020,38
05/14/2020,38
05/15/2020,36
05/16/2020,45
05/17/2020,40
05/18/2020,45
05/19/2020,44
05/20/2020,45
05/21/2020,46
05/22/2020,47
05/23/2020,46
05/24/2020,46
05/25/2020,42
05/26/2020,44
05/27/2020,46
05/28/2020,42
05/29/2020,41
05/30/2020,49
05/31/2020,48
06/01/2020,45
06/02/2020,42
06/03/2020,48
06/04/2020,44
06/05/2020,46
06/06/2020,48
06/07/2020,54
06/08/2020,62
06/09/2020,60
06/10/2020,67
06/11/2020,69
06/12/2020,66
06/13/2020,72
06/14/2020,77
06/15/2020,79
06/16/2020,76
06/17/2020,81
06/18/2020,77
06/19/2020,89
06/20/2020,91
06/21/2020,96
06/22/2020,102
06/23/2020,111
06/24/2020,107
06/25/2020,113
06/26/2020,122
06/27/2020,124
06/28/2020,137
06/29/2020,148
06/30/2020,141
07/01/2020,143
07/02/2020,165
07/03/2020,175
07/04/2020,177
07/05/2020,169
07/06/2020,178
07/07/2020,181
07/08/2020,192
07/09/2020,191
07/10/2020,209
07/11/2020,202
07/12/2020,218
07/13/2020,225
07/14/2020,238
07/15/2020,241
07/16/2020,251
07/17/2020,262
07/18/2020,264
07/19/2020,269
07/20/2020,281
07/21/2020,281
07/22/2020,286
07/23/2020,286
07/24/2020,295
07/25/2020,309
07/26/2020,316
07/27/2020,306
07/28/2020,304
07/29/2020,302
07/30/2020,304
07/31/2020,307
08/01/2020,319
08/02/2020,319
08/03/2020,315
