category,Leitos UTI
03/19/2020,1
03/20/2020,1
03/21/2020,4
03/22/2020,5
03/23/2020,6
03/24/2020,9
03/25/2020,7
03/26/2020,11
03/27/2020,10
03/28/2020,14
03/29/2020,18
03/30/2020,20
03/31/2020,18
04/01/2020,25
04/02/2020,26
04/03/2020,29
04/04/2020,32
04/05/2020,31
04/06/2020,34
04/07/2020,33
04/08/2020,34
04/09/2020,42
04/10/2020,43
04/11/2020,40
04/12/2020,38
04/13/2020,39
04/14/2020,40
04/15/2020,38
04/16/2020,39
04/17/2020,40
04/18/2020,38
04/19/2020,37
04/20/2020,33
04/21/2020,30
04/22/2020,31
04/23/2020,35
04/24/2020,34
04/25/2020,35
04/26/2020,31
04/27/2020,33
04/28/2020,34
04/29/2020,29
04/30/2020,28
05/01/2020,31
05/02/2020,34
05/03/2020,36
05/04/2020,39
05/05/2020,30
05/06/2020,38
05/07/2020,39
05/08/2020,40
05/09/2020,41
05/10/2020,41
05/11/2020,41
05/12/2020,41
05/13/2020,38
05/14/2020,38
05/15/2020,36
05/16/2020,45
05/17/2020,40
05/18/2020,45
05/19/2020,44
05/20/2020,45
05/21/2020,46
05/22/2020,47
05/23/2020,46
05/24/2020,46
05/25/2020,42
05/26/2020,44
05/27/2020,46
05/28/2020,42
05/29/2020,41
05/30/2020,49
05/31/2020,48
06/01/2020,45
06/02/2020,42
06/03/2020,48
06/04/2020,44
06/05/2020,46
06/06/2020,48
06/07/2020,54
06/08/2020,62
06/09/2020,60
06/10/2020,67
06/11/2020,69
06/12/2020,66
06/13/2020,72
06/14/2020,77
06/15/2020,79
06/16/2020,76
06/17/2020,81
06/18/2020,77
06/19/2020,89
06/20/2020,91
06/21/2020,96
06/22/2020,102
06/23/2020,111
06/24/2020,107
06/25/2020,113
06/26/2020,122
06/27/2020,124
06/28/2020,137
06/29/2020,148
06/30/2020,141
07/01/2020,143
07/02/2020,165
07/03/2020,175
07/04/2020,177
07/05/2020,169
07/06/2020,178
07/07/2020,181
07/08/2020,192
07/09/2020,191
07/10/2020,209
07/11/2020,202
07/12/2020,218
07/13/2020,225
07/14/2020,238
07/15/2020,241
07/16/2020,251
07/17/2020,262
07/18/2020,264
07/19/2020,269
07/20/2020,281
07/21/2020,281
07/22/2020,286
07/23/2020,286
07/24/2020,295
07/25/2020,309
07/26/2020,316
07/27/2020,306
07/28/2020,304
07/29/2020,302
07/30/2020,304
07/31/2020,307
08/01/2020,319
08/02/2020,319
08/03/2020,315
08/04/2020,309
08/05/2020,324
08/06/2020,331
08/07/2020,323
08/08/2020,324
08/09/2020,334
08/10/2020,335
08/11/2020,332
08/12/2020,339
08/13/2020,342
08/14/2020,339
08/15/2020,338
08/16/2020,340
08/17/2020,335
08/18/2020,330
08/19/2020,329
08/20/2020,310
08/21/2020,308
08/22/2020,314
08/23/2020,309
08/24/2020,307
08/25/2020,310
08/26/2020,331
08/27/2020,302
08/28/2020,327
08/29/2020,325
08/30/2020,335
08/31/2020,325
09/01/2020,344
09/02/2020,347
09/03/2020,338
09/04/2020,347
09/05/2020,335
09/06/2020,329
09/07/2020,333
09/08/2020,332
09/09/2020,327
09/10/2020,320
09/11/2020,312
09/12/2020,308
09/13/2020,304
09/14/2020,305
09/15/2020,304
09/16/2020,298
09/17/2020,294
09/18/2020,300
09/19/2020,305
09/20/2020,315
09/21/2020,306
09/22/2020,299
09/23/2020,289
09/24/2020,286
09/25/2020,280
09/26/2020,279
09/27/2020,277
09/28/2020,284
09/29/2020,278
09/30/2020,274
10/01/2020,269
10/02/2020,260
10/03/2020,248
10/04/2020,261
10/05/2020,261
10/06/2020,266
10/07/2020,256
10/08/2020,254
10/09/2020,248
10/10/2020,248
10/11/2020,235
10/12/2020,235
10/13/2020,234
10/14/2020,241
10/15/2020,241
10/16/2020,246
10/17/2020,246
10/18/2020,246
10/19/2020,240
10/20/2020,252
10/21/2020,240
10/22/2020,234
10/23/2020,236
10/24/2020,244
10/25/2020,244
10/26/2020,244
10/27/2020,246
10/28/2020,234
10/29/2020,227
10/30/2020,228
10/31/2020,208
11/01/2020,208
11/02/2020,208
11/03/2020,209
11/04/2020,212
11/05/2020,197
11/06/2020,218
11/07/2020,227
11/08/2020,224
11/09/2020,228
11/10/2020,226
11/11/2020,230
11/12/2020,234
11/13/2020,232
11/14/2020,229
11/15/2020,230
11/16/2020,237
11/17/2020,234
11/18/2020,244
11/19/2020,245
11/20/2020,232
11/21/2020,233
11/22/2020,244
11/23/2020,243
11/24/2020,251
11/25/2020,248
11/26/2020,262
11/27/2020,256
11/28/2020,258
11/29/2020,260
11/30/2020,270
12/01/2020,249
12/02/2020,260
12/03/2020,275
12/04/2020,280
12/05/2020,286
12/06/2020,295
12/07/2020,296
12/08/2020,293
12/09/2020,290
12/10/2020,296
12/11/2020,294
12/12/2020,288
12/13/2020,291
12/14/2020,294
12/15/2020,297
12/16/2020,299
12/17/2020,301
12/18/2020,307
12/19/2020,333
12/20/2020,330
12/21/2020,318
12/22/2020,319
12/23/2020,300
12/24/2020,308
12/25/2020,327
12/26/2020,314
12/27/2020,312
12/28/2020,312
12/29/2020,312
12/30/2020,317
12/31/2020,324
